Furnishing,facing,Bathroom,Balcony,Amount_numeric,BHK,Carpet_Area_sqft,Current_Floor,Total_Floors
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
Unfurnished,East,2.0,1.0,13000000.0,2.0,900.0,2.0,5.0
Semi-Furnished,East,2.0,2.0,3500000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,,2.0,4.0
Unfurnished,North,2.0,2.0,8300000.0,2.0,880.0,4.0,5.0
Unfurnished,East,2.0,2.0,11700000.0,2.0,,3.0,6.0
Semi-Furnished,East,2.0,1.0,6500000.0,2.0,,1.0,4.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,3.0,4.0
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,1050.0,4.0,4.0
Semi-Furnished,East,2.0,2.0,8000000.0,3.0,,7.0,19.0
Semi-Furnished,East,2.0,2.0,9720000.0,2.0,,5.0,10.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9000000.0,2.0,,0.0,10.0
Semi-Furnished,East,2.0,2.0,9600000.0,2.0,,5.0,10.0
Unfurnished,North,3.0,2.0,8800000.0,3.0,,2.0,4.0
Semi-Furnished,East,3.0,2.0,9000000.0,3.0,,19.0,20.0
Semi-Furnished,East,4.0,2.0,13000000.0,3.0,,5.0,5.0
Unfurnished,North,2.0,1.0,7200000.0,2.0,,1.0,4.0
Semi-Furnished,East,3.0,3.0,6300000.0,3.0,1435.0,3.0,6.0
Semi-Furnished,East,3.0,3.0,6000000.0,3.0,,3.0,5.0
Semi-Furnished,North,3.0,2.0,23900000.0,3.0,,3.0,3.0
Furnished,South -West,3.0,2.0,7800000.0,3.0,1000.0,10.0,10.0
Semi-Furnished,East,3.0,3.0,31000000.0,3.0,1415.0,32.0,32.0
,East,2.0,3.0,,2.0,,0.0,4.0
Unfurnished,East,2.0,2.0,7800000.0,2.0,,0.0,4.0
Semi-Furnished,East,2.0,2.0,8800000.0,2.0,,8.0,13.0
Unfurnished,East,2.0,2.0,8500000.0,3.0,900.0,10.0,14.0
Unfurnished,North,2.0,1.0,6400000.0,2.0,805.0,9.0,15.0
Unfurnished,East,2.0,1.0,8630000.0,2.0,1000.0,7.0,32.0
Unfurnished,East,2.0,1.0,7000000.0,2.0,,4.0,10.0
